id,aggregate_rating,rating_color,rating_text,votes
6316125,4.9,3F7E00,Excellent,1394
18409457,4.6,3F7E00,Excellent,602
6307689,4,5BA829,Very Good,563
18581637,4,5BA829,Very Good,413
6315438,4.6,3F7E00,Excellent,960
6300010,4.9,3F7E00,Excellent,1014
18655016,4,5BA829,Very Good,48
6304287,4.5,3F7E00,Excellent,1031
18451647,4.8,3F7E00,Excellent,448
6309903,4.8,3F7E00,Excellent,1404
6304833,4.5,3F7E00,Excellent,700
6318506,4.8,3F7E00,Excellent,762
18165419,4.6,3F7E00,Excellent,282
6314302,4.7,3F7E00,Excellent,570
6309831,4.9,3F7E00,Excellent,912
18189371,4.6,3F7E00,Excellent,657
18506282,4.6,3F7E00,Excellent,362
6314243,4.3,5BA829,Very Good,732
6314111,4.6,3F7E00,Excellent,939
6318213,4.3,5BA829,Very Good,598
18695427,4.3,5BA829,Very Good,153
6314605,4.1,5BA829,Very Good,660
6301290,4.1,5BA829,Very Good,908
6309635,4.3,5BA829,Very Good,502
6311506,4.4,5BA829,Very Good,635
18382308,4.5,3F7E00,Excellent,389
6318433,4.4,5BA829,Very Good,592
6314240,4.2,5BA829,Very Good,594
18358376,4.4,5BA829,Very Good,262
6316359,4.2,5BA829,Very Good,192
6311148,4.3,5BA829,Very Good,466
18476113,4.1,5BA829,Very Good,270
6310470,4.3,5BA829,Very Good,703
6316962,4.6,3F7E00,Excellent,507
6305259,3.5,9ACD32,Good,426
6310386,4.1,5BA829,Very Good,706
6308700,3.7,9ACD32,Good,300
18506264,4.5,3F7E00,Excellent,255
6300011,4.7,3F7E00,Excellent,300
6300781,3.8,9ACD32,Good,624
18549676,4.1,5BA829,Very Good,250
6314987,4.7,3F7E00,Excellent,769
6301688,4.5,3F7E00,Excellent,573
6315846,4.4,5BA829,Very Good,575
6314542,4.5,3F7E00,Excellent,324
6313582,3.9,9ACD32,Good,877
18280299,4.4,5BA829,Very Good,327
18558936,4.6,3F7E00,Excellent,330
6301730,4.6,3F7E00,Excellent,487
6312860,4.4,5BA829,Very Good,557
18250521,4.4,5BA829,Very Good,331
6304550,4.4,5BA829,Very Good,121
6312758,3.4,CDD614,Average,442
6310022,4.4,5BA829,Very Good,734
18364418,4.7,3F7E00,Excellent,289
6309995,3.9,9ACD32,Good,162
18343591,4.6,3F7E00,Excellent,272
6313982,4.4,5BA829,Very Good,278
6312892,4.2,5BA829,Very Good,743
18271057,4.5,3F7E00,Excellent,319
18618697,4.9,3F7E00,Excellent,123
18245912,4,5BA829,Very Good,338
6312828,4.4,5BA829,Very Good,734
6310802,4,5BA829,Very Good,420
18422155,3.9,9ACD32,Good,180
6315799,4.1,5BA829,Very Good,516
6316532,4.5,3F7E00,Excellent,406
6312625,4,5BA829,Very Good,820
6313503,4.5,3F7E00,Excellent,573
18595218,4.5,3F7E00,Excellent,162
6304566,4.3,5BA829,Very Good,566
6317761,4.2,5BA829,Very Good,450
6313717,4.2,5BA829,Very Good,458
6316350,4.7,3F7E00,Excellent,436
18268213,4.3,5BA829,Very Good,251
6302378,4.3,5BA829,Very Good,301
6312811,4.2,5BA829,Very Good,369
18562172,4.2,5BA829,Very Good,123
6307906,4,5BA829,Very Good,519
6302438,4.1,5BA829,Very Good,853
6313173,4.1,5BA829,Very Good,143
6301760,4.2,5BA829,Very Good,551
18343481,3.7,9ACD32,Good,185
6314041,4.3,5BA829,Very Good,347
18536131,4,5BA829,Very Good,152
6314428,4.4,5BA829,Very Good,508
18336039,4.3,5BA829,Very Good,295
6314006,4.2,5BA829,Very Good,780
18426737,4.7,3F7E00,Excellent,145
6309607,4.4,5BA829,Very Good,295
6315689,4.3,5BA829,Very Good,761
6301285,4.5,3F7E00,Excellent,351
6317534,3.6,9ACD32,Good,468
6310406,4.3,5BA829,Very Good,765
6303791,4.4,5BA829,Very Good,468
6308524,4.2,5BA829,Very Good,487
18439436,4.2,5BA829,Very Good,230
6308143,4.2,5BA829,Very Good,532
18255669,4.4,5BA829,Very Good,217
6304411,3.8,9ACD32,Good,402
18283076,3,CDD614,Average,16
18283069,0,CBCBC8,Not rated,2
18283078,0,CBCBC8,Not rated,2
6316593,3.9,9ACD32,Good,76
6309661,3.2,CDD614,Average,31
6317528,0,CBCBC8,Not rated,0
6316758,3.9,9ACD32,Good,299
6318734,3.6,9ACD32,Good,50
6316899,4,5BA829,Very Good,170
6317258,3.5,9ACD32,Good,267
6308658,3.5,9ACD32,Good,118
6302202,3.3,CDD614,Average,77
18544927,3.7,9ACD32,Good,22
6310773,3.5,9ACD32,Good,39
6318636,3.6,9ACD32,Good,25
18291001,3.6,9ACD32,Good,34
6300576,2.1,FF7800,Poor,34
6316762,3.6,9ACD32,Good,30
18442136,3.4,CDD614,Average,14
18208156,3.1,CDD614,Average,9
6316907,3.1,CDD614,Average,4
6314371,0,CBCBC8,Not rated,2
18641657,0,CBCBC8,Not rated,2
18324171,0,CBCBC8,Not rated,2
18537010,0,CBCBC8,Not rated,2
6308389,2.9,FFBA00,Average,2
18658772,0,CBCBC8,Not rated,0
18534908,0,CBCBC8,Not rated,0
18487135,0,CBCBC8,Not rated,1
18687340,0,CBCBC8,Not rated,0
18739503,0,CBCBC8,Not rated,0
6317637,4.5,3F7E00,Excellent,518
6301742,3.6,9ACD32,Good,340
6313649,3.8,9ACD32,Good,259
18278173,4.4,5BA829,Very Good,180
18654932,3.6,9ACD32,Good,12
6316274,3.9,9ACD32,Good,251
18369120,4.3,5BA829,Very Good,143
6300166,3.9,9ACD32,Good,267
6314766,4.2,5BA829,Very Good,212
6301151,4.2,5BA829,Very Good,241
6302231,4,5BA829,Very Good,153
6300631,3.4,CDD614,Average,154
6316069,3.5,9ACD32,Good,202
6300526,2,FF7800,Poor,181
6316254,4,5BA829,Very Good,251
6300531,3.8,9ACD32,Good,206
18442132,4.7,3F7E00,Excellent,198
18306408,3.7,9ACD32,Good,199
6301701,3.8,9ACD32,Good,205
6300573,4,5BA829,Very Good,157
18268187,4.2,5BA829,Very Good,106
18353618,4,5BA829,Very Good,149
6300756,3.7,9ACD32,Good,149
6312805,3.7,9ACD32,Good,137
6300988,3.7,9ACD32,Good,142
6301604,3.8,9ACD32,Good,159
18364382,4.3,5BA829,Very Good,64
18442134,3.4,CDD614,Average,82
18342577,3.5,9ACD32,Good,113
18401695,4.2,5BA829,Very Good,117
6300779,3.8,9ACD32,Good,151
18336015,4,5BA829,Very Good,136
18171893,4.2,5BA829,Very Good,119
18357200,3.9,9ACD32,Good,101
18437967,3.5,9ACD32,Good,57
6301932,3.8,9ACD32,Good,135
18318692,4,5BA829,Very Good,80
6300819,3.1,CDD614,Average,91
18409020,3.8,9ACD32,Good,89
18409022,3.4,CDD614,Average,72
6314940,3.7,9ACD32,Good,113
18382094,3.9,9ACD32,Good,109
18312918,4,5BA829,Very Good,113
6300587,3.9,9ACD32,Good,97
6301626,3.5,9ACD32,Good,120
6301959,3.6,9ACD32,Good,129
18704175,3.8,9ACD32,Good,50
6301458,3.7,9ACD32,Good,92
6301696,4,5BA829,Very Good,111
18578723,3.6,9ACD32,Good,73
18401703,3.9,9ACD32,Good,97
18232786,3.9,9ACD32,Good,82
6300880,3.4,CDD614,Average,117
6300516,3.8,9ACD32,Good,109
18343822,4.1,5BA829,Very Good,72
18335996,4.1,5BA829,Very Good,113
6300381,3.6,9ACD32,Good,110
18335985,3.9,9ACD32,Good,87
6300660,3.2,CDD614,Average,123
6315172,3.7,9ACD32,Good,70
6300772,3.8,9ACD32,Good,97
18401676,3.6,9ACD32,Good,80
6313332,3,CDD614,Average,103
18252233,3.6,9ACD32,Good,77
6301413,3.4,CDD614,Average,118
6315397,3.6,9ACD32,Good,88
18364395,3.9,9ACD32,Good,68
18401697,2.8,FFBA00,Average,63
6300577,2.4,FF7800,Poor,51
18369124,3.9,9ACD32,Good,88
18614613,3.7,9ACD32,Good,56
6300785,3.2,CDD614,Average,70
6301452,3.8,9ACD32,Good,51
18382282,3.6,9ACD32,Good,50
18382284,2.3,FF7800,Poor,72
18558203,4.2,5BA829,Very Good,47
6302068,3.7,9ACD32,Good,77
6300813,3.5,9ACD32,Good,86
6310739,3.9,9ACD32,Good,118
6300977,3.6,9ACD32,Good,73
18382086,3.7,9ACD32,Good,53
18409018,3.9,9ACD32,Good,48
18340451,3.6,9ACD32,Good,40
18486541,3.4,CDD614,Average,73
6301265,3.6,9ACD32,Good,48
6301695,3.5,9ACD32,Good,65
6300782,3.3,CDD614,Average,63
18336022,3.8,9ACD32,Good,49
6312101,3.6,9ACD32,Good,51
6300824,3.5,9ACD32,Good,72
6301352,3.6,9ACD32,Good,78
18312929,3.3,CDD614,Average,42
6300753,2.3,FF7800,Poor,80
18372814,4.4,5BA829,Very Good,244
6309818,3.9,9ACD32,Good,223
6309857,3.9,9ACD32,Good,323
6309936,4.3,5BA829,Very Good,262
18382320,4.2,5BA829,Very Good,246
6313149,4.1,5BA829,Very Good,224
